put,black,white
black:e3,4,1
white:f3,3,3
black:f4,5,2
white:d3,3,5
black:c4,5,4
white:c5,4,6
black:b5,7,4
white:a6,5,7
black:a5,7,6
white:c6,4,10
black:c3,6,9
white:a4,4,12
black:b6,6,11
white:e6,5,13
black:d6,9,10
white:f5,5,15
black:f2,7,14
white:f1,6,16
black:b4,10,13
white:b3,8,16
black:c2,11,14
white:d1,10,16
black:c1,12,15
white:c7,10,18
black:c8,12,17
white:a3,10,20
black:d2,12,19
white:d8,11,21
black:d7,14,19
white:e1,12,22
black:e8,14,21
white:e2,10,26
black:f7,12,25
white:f6,9,29
black:g6,13,26
white:f8,12,28
black:e7,15,26
white:h6,14,28
black:h5,17,26
white:h4,16,28
black:g5,21,24
white:g3,19,27
black:h3,22,25
white:g4,21,27
black:h7,25,24
white:b1,24,26
black:g8,26,25
white:h2,25,27
black:h1,27,26
white:b2,25,29
black:g2,29,26
white:g7,25,31
black:h8,29,28
black:g1,31,27
black:a1,39,20
white:a2,38,22
black:b7,49,12
white:a7,48,14
black:a8,55,8
white:b8,53,11
Results,53,11
